City,City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
70,70,Talnakh,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
71,71,Palauig,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
72,72,Bluff,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
73,73,Yellowknife,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
74,74,Qaanaaq,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
75,75,Namatanai,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
76,76,Mar Del Plata,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
77,77,Labuhan,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
78,78,Kodiak,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
79,79,Caravelas,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
80,80,Tura,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
81,81,Dikson,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
82,82,Haines Junction,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
83,83,Brigantine,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
84,84,Lixourion,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
85,85,Kauhajoki,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
86,86,Fairbanks,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
87,87,Avarua,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
88,88,Sentyabrskiy,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
89,89,Kapaa,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
90,90,Aleksandrov Gay,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
91,91,Touros,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
92,92,Hermanus,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
93,93,Safaga,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
94,94,Lata,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
95,95,Port Alfred,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
96,96,Barentsburg,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
97,97,Burnie,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
98,98,Hobart,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
99,99,Samalaeulu,PE,71.6,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
150,150,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
151,151,Sinnamary,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
152,152,San Carlos De Bariloche,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
153,153,Rocha,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
154,154,Ilulissat,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
155,155,Ginir,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
156,156,Redmond,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
157,157,Louisbourg,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
